Unnamed: 0,question,answer
1896,i hope so i have to go to the bathroom,well i can always pull over
1897,well i can always pull over,no thank you ill just wait
1898,no thank you ill just wait,we can kill two birds with one stone
1899,we can kill two birds with one stone,what do you mean
1900,what do you mean,while youre using the bathroom ill order some food
1901,while youre using the bathroom ill order some food,dont order for me im not hungry
1902,dont order for me im not hungry,im very hungry ill order for you and then ill eat yours
1903,this is such a long light,look how many cars are waiting in line
1904,look how many cars are waiting in line,they need a leftturn arrow
1905,they need a leftturn arrow,only two cars can make a left turn every three or four minutes
1906,only two cars can make a left turn every three or four minutes,well be here forever
1907,well be here forever,get out of this lane
1908,get out of this lane,but we need to turn left
1909,but we need to turn left,forget it go straight
1910,forget it go straight,then what
1911,then what,then well just make a uturn
1912,then well just make a uturn,and then we can turn right at the light
1913,and then we can turn right at the light,good idea it will be so much quicker
1914,i need a cheap car,how much money do you have
1915,how much money do you have,1000
1916,1000,well that should get you something
1917,well that should get you something,but i need something thats reliable
1918,but i need something thats reliable,you need a car with low mileage
1919,you need a car with low mileage,a car that was owned by a little old lady
1920,a car that was owned by a little old lady,where have you looked
1921,where have you looked,i havent looked anywhere yet
1922,i havent looked anywhere yet,why not
1923,why not,because ill never find one for such a low price
1924,because ill never find one for such a low price,youre right about that keep saving your money
1925,good afternoon officer,your drivers license and registration please
1926,your drivers license and registration please,here you go
1927,here you go,do you know why i pulled you over
1928,do you know why i pulled you over,i have no idea all of a sudden i heard your siren
1929,i have no idea all of a sudden i heard your siren,you rolled through that stop sign back there
1930,you rolled through that stop sign back there,but i stopped
1931,but i stopped,no you didnt you slowed down but you didnt come to a full stop
1932,no you didnt you slowed down but you didnt come to a full stop,well nobody else does so why should i
1933,well nobody else does so why should i,thats not the attitude of a good driver
1934,thats not the attitude of a good driver,but i am a good driver ive never had a ticket in my life
1935,but i am a good driver ive never had a ticket in my life,well youve got one now here have a nice day
1936,140 i cant believe it,what are you talking about
1937,what are you talking about,i got a ticket downtown for 140
1938,i got a ticket downtown for 140,were you speeding
1939,were you speeding,no i was crossing the street
1940,no i was crossing the street,were you jaywalking
1941,were you jaywalking,no i was in the crosswalk
1942,no i was in the crosswalk,so why did you get a ticket
1943,so why did you get a ticket,the officer said the red hand was blinking
1944,the officer said the red hand was blinking,was it blinking when you entered the crosswalk
1945,was it blinking when you entered the crosswalk,no the white walk sign was blinking
1946,no the white walk sign was blinking,you should fight that ticket ill be your witness
1947,they were in a crosswalk near school at 3 am,who
1948,who,two students from usc
1949,two students from usc,what happened
1950,what happened,a speeding car ran a red light killing the girl
1951,a speeding car ran a red light killing the girl,what happened to the other student
1952,what happened to the other student,he landed on the hood of the car
1953,he landed on the hood of the car,did he get off the hood
1954,did he get off the hood,no the car stopped and the passenger pushed the injured student off the hood
1955,no the car stopped and the passenger pushed the injured student off the hood,ill bet the car continued on its way
1956,ill bet the car continued on its way,of course it did why stop after youve run over two people
1957,of course it did why stop after youve run over two people,i hope they find them and put them in jail for life
1958,what happened to your car,i got a dent in the parking lot
1959,i got a dent in the parking lot,how did you get it
1960,how did you get it,i dont know maybe it was from a shopping cart
1961,i dont know maybe it was from a shopping cart,those shopping carts are dangerous
1962,those shopping carts are dangerous,especially the metal ones
1963,especially the metal ones,i dont park at a store that uses metal shopping carts
1964,i dont park at a store that uses metal shopping carts,thats a good idea but there was a good sale at this store
1965,thats a good idea but there was a good sale at this store,did you save any money on the sale
1966,did you save any money on the sale,yes i did i saved about 50
1967,yes i did i saved about 50,thats great
1968,thats great,yes except this dent will cost about 150
1969,did you see titanic,yes it is a great movie
1970,yes it is a great movie,i saw it twelve times
1971,i saw it twelve times,i saw it eight times
1972,i saw it eight times,i have the dvd
1973,i have the dvd,so do i
1974,so do i,lets go to your home
1975,lets go to your home,we can watch my dvd
1976,we can watch my dvd,and then we can go to my home
1977,and then we can go to my home,and watch your dvd
1978,and watch your dvd,i always cry at the end
1979,i always cry at the end,me too its so sad
1980,lets play cards,i dont know any card games
1981,i dont know any card games,ill teach you one
1982,ill teach you one,okay what will you teach me
1983,okay what will you teach me,its called poker
1984,its called poker,is it easy to learn
1985,is it easy to learn,yes it will only take about 30 minutes
1986,yes it will only take about 30 minutes,okay teach me how to play
1987,okay teach me how to play,we each get five cards
1988,we each get five cards,oh look i have four tens
1989,oh look i have four tens,thats great but youre not supposed to tell me
1990,thats great but youre not supposed to tell me,oh sorry okay i dont have four tens
1991,im a good card player,why is that
1992,why is that,because i watch the other players
1993,because i watch the other players,what do you mean
1994,what do you mean,people will tell you if they have a good hand
1995,people will tell you if they have a good hand,how do they do that
1996,how do they do that,for example a friend of mine licks his lips
1997,for example a friend of mine licks his lips,when he licks his lips you know he has a good hand
1998,when he licks his lips you know he has a good hand,i know he has a good hand so i dont bet
1999,i know he has a good hand so i dont bet,he never wins your money
2000,he never wins your money,nope and it drives him crazy
2001,nope and it drives him crazy,he knows you cant read his mind maybe he thinks youre cheating
2002,turn the radio down please,but im listening to it
2003,but im listening to it,well listen to it more quietly
2004,well listen to it more quietly,i cant wait till i grow up
2005,i cant wait till i grow up,what will you do
2006,what will you do,i will play the radio as loud as i want
2007,i will play the radio as loud as i want,thats okay with me
2008,thats okay with me,i will have a radio in every room of my house
2009,i will have a radio in every room of my house,remind me to never visit you
2010,remind me to never visit you,all the radios will be on extra loud
2011,all the radios will be on extra loud,your neighbors will hate you
2012,your neighbors will hate you,if they dont like it they can move
2013,i hope i win the lotto,your chances are very small
2014,your chances are very small,but you cant win if you dont play
2015,but you cant win if you dont play,ha you cant win if you do play
2016,ha you cant win if you do play,someone has to win
2017,someone has to win,thats what everyone says
2018,thats what everyone says,it might as well be me
2019,it might as well be me,thats what everyone says
2020,thats what everyone says,youre trying to tell me something
2021,youre trying to tell me something,that didnt take long
2022,that didnt take long,you think i should quit playing
2023,you think i should quit playing,save your money for school
2024,whats on tv,nothing much
2025,nothing much,what about the baseball game
2026,what about the baseball game,it got rained out
2027,it got rained out,rained out
2028,rained out,yes rained out
2029,yes rained out,how could that be
2030,how could that be,well you cant play baseball in a rainstorm
2031,well you cant play baseball in a rainstorm,i thought they were playing under a dome
2032,i thought they were playing under a dome,the dome doesnt close
2033,the dome doesnt close,why doesnt it close
2034,why doesnt it close,who knows they said theyll fix it before next season
2035,can i try your coffee,sure here you go
2036,sure here you go,hmm thats not bad
2037,hmm thats not bad,theres nothing in it
2038,theres nothing in it,what do you mean
2039,what do you mean,i mean its just coffee
2040,i mean its just coffee,i figured that
2041,i figured that,its not too bitter for you
2042,its not too bitter for you,its a little bitter but its okay
2043,its a little bitter but its okay,theres no sugar or cream in it
2044,theres no sugar or cream in it,no its a taste you have to get used to
2045,no its a taste you have to get used to,sort of like beer
2046,lets take a walk,whats the weather like
2047,whats the weather like,let me step outside and see
2048,let me step outside and see,its a little chilly right
2049,its a little chilly right,yes it is
2050,yes it is,ill put on my cap
2051,ill put on my cap,wear a jacket too
2052,wear a jacket too,i wonder if i should bring my gloves
2053,i wonder if i should bring my gloves,maybe you should just in case it gets colder
2054,maybe you should just in case it gets colder,ill put a glove in each pocket
2055,ill put a glove in each pocket,well get warmer as we walk
2056,well get warmer as we walk,yes but it gets colder as the sun goes down
2057,look at the car chase on tv,that driver is crazy
2058,that driver is crazy,i cant believe he hasnt crashed
2059,i cant believe he hasnt crashed,how fast is he going
2060,how fast is he going,they say hes going 80 miles per hour
2061,they say hes going 80 miles per hour,hes going to kill someone
2062,hes going to kill someone,look he just hit that car
2063,look he just hit that car,oh my goodness no one is safe on the streets
2064,oh my goodness no one is safe on the streets,now hes slowing down
2065,now hes slowing down,maybe he ran out of gas
2066,maybe he ran out of gas,look he just got out of the car and started running
2067,look he just got out of the car and started running,i hope the police catch him
2068,tv news is so stupid,they shouldnt even call it news
2069,they shouldnt even call it news,last night they told us about a cat in a sofa
2070,last night they told us about a cat in a sofa,yesterday they told us about a dog in a pipe
2071,yesterday they told us about a dog in a pipe,last week they told us about a bear in a back yard
2072,last week they told us about a bear in a back yard,last month they told us about a mouse in a restaurant
2073,last month they told us about a mouse in a restaurant,the weatherman tells us the temperature in every town
2074,the weatherman tells us the temperature in every town,the sports guy shows us players fighting
2075,the sports guy shows us players fighting,they always tell us whats next
2076,they always tell us whats next,they always make whats next sound exciting but it never is
2077,they always make whats next sound exciting but it never is,its more like news for kids
2078,its more like news for kids,they should have kid reporters
2079,i love my computer,computers are so cool
2080,computers are so cool,i love to go online
2081,i love to go online,the internet is amazing
2082,the internet is amazing,you can travel all over the world
2083,you can travel all over the world,i know i went to china yesterday
2084,i know i went to china yesterday,what did you do
2085,what did you do,i stood on the great wall and looked all around
2086,i stood on the great wall and looked all around,what was it like
2087,what was it like,it was like the real thing
2088,it was like the real thing,it was like being there
2089,it was like being there,yes i felt like i was actually there
2090,the beatles are the best,they are the best musical group ever
2091,they are the best musical group ever,i love all their songs
2092,i love all their songs,i dont know which one i like the best
2093,i dont know which one i like the best,i like the ones i can sing along with
2094,i like the ones i can sing along with,so do i like she loves you
2095,so do i like she loves you,she loves you yeah yeah yeah
2096,she loves you yeah yeah yeah,and you know you should be glad
2097,and you know you should be glad,what a great song
2098,what a great song,how about let it be
2099,how about let it be,oh yes let it be let it be
2100,oh yes let it be let it be,there will be an answer let it be
2101,lets go to a movie,id rather not
2102,id rather not,why not
2103,why not,you know i dont like crowds
2104,you know i dont like crowds,lets go to an early movie
2105,lets go to an early movie,okay that wont be very crowded
2106,okay that wont be very crowded,what would you like to see
2107,what would you like to see,oh i dont care youre the one who wants to go out
2108,oh i dont care youre the one who wants to go out,well i want to see the pursuit of happyness
2109,well i want to see the pursuit of happyness,what have you heard about it
2110,what have you heard about it,its based on a true story about a divorced man and his young son
2111,its based on a true story about a divorced man and his young son,well i hope it has a happy ending
2112,whats your favorite thing to do,i like to watch people
2113,i like to watch people,thats your favorite thing to do
2114,thats your favorite thing to do,well its one of them
2115,well its one of them,where do you go to watch people
2116,where do you go to watch people,my girlfriend and i sit outside starbucks
2117,my girlfriend and i sit outside starbucks,that sounds like a good spot
2118,that sounds like a good spot,we watch people walk by with their dogs
2119,we watch people walk by with their dogs,i guess you see lots of different dogs
2120,i guess you see lots of different dogs,we dont even know what kind most of them are
2121,we dont even know what kind most of them are,there are lots of different kinds but they all have one thing in common
2122,there are lots of different kinds but they all have one thing in common,yes they love to sniff each other when they meet
2123,they call him father dollar bill,yes he was on the tv news today
2124,yes he was on the tv news today,every easter sunday he gives away money
2125,every easter sunday he gives away money,is it his money
2126,is it his money,no movie stars give him money to give to homeless people
2127,no movie stars give him money to give to homeless people,how much money does he give away
2128,how much money does he give away,this year he gave away 15000
2129,this year he gave away 15000,thats a lot of money
2130,thats a lot of money,he gave 100 to people in wheelchairs
2131,he gave 100 to people in wheelchairs,what about the other homeless people
2132,what about the other homeless people,they got 1 each
2133,they got 1 each,people stood in line just to get one dollar
2134,old movies are the best,even though theyre in black and white
2135,even though theyre in black and white,a good story is more important than color
2136,a good story is more important than color,actors didnt curse back then
2137,actors didnt curse back then,and there was no violence
2138,and there was no violence,people today dont like that
2139,people today dont like that,no today people like lots of action
2140,no today people like lots of action,i like a good story
2141,i like a good story,i like to see actors who are like real people
2142,i like to see actors who are like real people,like real people with real problems
2143,like real people with real problems,they still make movies like that
2144,they still make movies like that,yes but they never make much money
2145,do you get pbs on tv,yes everybody gets the public broadcasting system
2146,yes everybody gets the public broadcasting system,it puts me to sleep
2147,it puts me to sleep,tell me about it
2148,tell me about it,a gardening show follows a knitting show
2149,a gardening show follows a knitting show,a cooking show follows a sewing show
2150,a cooking show follows a sewing show,a travel show follows another travel show
2151,a travel show follows another travel show,ill say ive gone around the world a dozen times already
2152,ill say ive gone around the world a dozen times already,now theyre adding old tv shows to the old movies
2153,now theyre adding old tv shows to the old movies,i sure would like to see something interesting for a change
2154,i sure would like to see something interesting for a change,if more people donate money pbs could offer new shows
2155,if more people donate money pbs could offer new shows,who wants to donate public tv should be free
2156,i love to watch judge judy,is that a tv show
2157,is that a tv show,yes its on every afternoon
2158,yes its on every afternoon,whats so good about it
2159,whats so good about it,they have interesting lawsuits
2160,they have interesting lawsuits,such as
2161,such as,yesterday a woman complained about a cell phone she bought on ebay
2162,yesterday a woman complained about a cell phone she bought on ebay,was something wrong with the phone
2163,was something wrong with the phone,it works only in canada
2164,it works only in canada,did the seller know that
2165,did the seller know that,yes and he didnt tell the buyer
2166,yes and he didnt tell the buyer,i hope judge judy made the seller take the phone back
2167,that woman is a very good singer,yes but she looks like a man
2168,yes but she looks like a man,what difference does it make
2169,what difference does it make,female singers are supposed to be pretty
2170,female singers are supposed to be pretty,singers are supposed to sound good
2171,singers are supposed to sound good,they should look good too
2172,they should look good too,there are lots of ugly men singers
2173,there are lots of ugly men singers,men singers dont have to look good
2174,men singers dont have to look good,then neither do women singers
2175,then neither do women singers,well i would never buy her cd
2176,well i would never buy her cd,but you would buy her cd if she was pretty
2177,but you would buy her cd if she was pretty,yes i would buy all of her cds
2178,all the tv stations are going to go digital,yes that will occur next month
2179,yes that will occur next month,most of them are already broadcasting in digital
2180,most of them are already broadcasting in digital,the digital signal is very clear
2181,the digital signal is very clear,oh no it isnt
2182,oh no it isnt,what do you mean
2183,what do you mean,i cant get a single channel
2184,i cant get a single channel,do you have a digital tv
2185,do you have a digital tv,of course but i dont have cable
2186,of course but i dont have cable,you dont need to have cable but you do need a good antenna
2187,you dont need to have cable but you do need a good antenna,but i have rabbit ears
2188,but i have rabbit ears,rabbit ears arent strong enough buy a digital antenna
2189,ive got a date for you,oh really
2190,oh really,are you interested
2191,are you interested,maybe what is she like
2192,maybe what is she like,shes got a great personality
2193,shes got a great personality,uhoh that means that shes fat and ugly
2194,uhoh that means that shes fat and ugly,shes cute
2195,shes cute,okay so shes not ugly shes just fat
2196,okay so shes not ugly shes just fat,she weighs 98 pounds
2197,she weighs 98 pounds,okay shes not fat so whats the problem with her
2198,okay shes not fat so whats the problem with her,who said there is a problem with her
2199,who said there is a problem with her,the problem is she has no problemsshes too good for me
2200,i think youre very pretty,thank you
2201,thank you,would you have dinner with me
2202,would you have dinner with me,i would like to
2203,i would like to,can i pick you up friday night
2204,can i pick you up friday night,what time
2205,what time,eight oclock
2206,eight oclock,that sounds great
2207,that sounds great,well go to a french restaurant
2208,well go to a french restaurant,ive never been to a french restaurant
2209,ive never been to a french restaurant,i think youll love the food
2210,i think youll love the food,im not going to eat any snails
2211,you have pretty eyes,thank you so do you
2212,thank you so do you,i wish my eyes were blue
2213,i wish my eyes were blue,whats the matter with green eyes
2214,whats the matter with green eyes,nothing except my favorite color is blue
2215,nothing except my favorite color is blue,maybe in your next life youll have blue eyes
2216,maybe in your next life youll have blue eyes,but what if im a fish in my next life
2217,but what if im a fish in my next life,i think some fish have blue eyes
2218,i think some fish have blue eyes,i hope i dont come back as a fish
2219,i hope i dont come back as a fish,i hope i come back as a cat
2220,i hope i come back as a cat,cats have beautiful eyes
2221,cats have beautiful eyes,i would love to have blue cateyes
2222,i love you,i love you too
2223,i love you too,i loved you the first day i saw you
2224,i loved you the first day i saw you,it was love at first sight
2225,it was love at first sight,yes it was love at first sight
2226,yes it was love at first sight,i didnt love you at first
2227,i didnt love you at first,i know i had to chase you for a while
2228,i know i had to chase you for a while,yes you chased me and then you caught me
2229,yes you chased me and then you caught me,now youre mine forever
2230,now youre mine forever,and youre mine forever
2231,and youre mine forever,well grow old together
2232,well grow old together,and be happy together
2233,im in love with that girl,have you told her
2234,have you told her,of course not
2235,of course not,why not
2236,why not,she would laugh at me
2237,she would laugh at me,how do you know
2238,how do you know,because they always do
2239,because they always do,maybe shes different
2240,maybe shes different,theyre all the same
2241,theyre all the same,just ask her out to dinner
2242,just ask her out to dinner,and then what
2243,and then what,and then shell know that you like her
2244,give me a hug,im not in the mood
2245,im not in the mood,whats the matter
2246,whats the matter,i saw you looking at that woman
2247,i saw you looking at that woman,what woman
2248,what woman,you know that woman with the big boobs
2249,you know that woman with the big boobs,i was not looking at her
2250,i was not looking at her,you were too
2251,you were too,im not interested in her
2252,im not interested in her,then why were you looking at her
2253,then why were you looking at her,i was looking at something else
2254,i was looking at something else,oh really then spend tonight looking at the sofa
2255,would you like to go on a blind date,you must be joking
2256,you must be joking,no im serious
2257,no im serious,i dont want to date a blind woman
2258,i dont want to date a blind woman,a blind date doesnt mean that she is blind
2259,a blind date doesnt mean that she is blind,what does it mean
2260,what does it mean,a blind date is a date with someone you dont know
2261,a blind date is a date with someone you dont know,why would i date someone i dont even know
2262,why would i date someone i dont even know,to try something new and exciting
2263,to try something new and exciting,what if i dont like her
2264,what if i dont like her,then you dont date her again
2265,i have a date tomorrow night,really who with
2266,really who with,a girl i met at the market
2267,a girl i met at the market,you met a girl at the supermarket
2268,you met a girl at the supermarket,she was standing behind me in a really slow line at the checkout counter
2269,she was standing behind me in a really slow line at the checkout counter,what did you say to her
2270,what did you say to her,i had two pineapples in my cart and she asked where i had found them
2271,i had two pineapples in my cart and she asked where i had found them,she asked you about your pineapples
2272,she asked you about your pineapples,i told her i had gotten the last two on the shelf but i offered her one of mine
2273,i told her i had gotten the last two on the shelf but i offered her one of mine,that was nice of you
2274,that was nice of you,she asked me how she could return the favor so i asked her out
2275,she asked me how she could return the favor so i asked her out,sometimes a slow line can be a good thing
2276,did you have a date friday night,yes in fact i did
2277,yes in fact i did,who did you go out with
2278,who did you go out with,a man i met in a coffee shop
2279,a man i met in a coffee shop,where did you go
2280,where did you go,we went to a nice restaurant
2281,we went to a nice restaurant,anywhere else
2282,anywhere else,then we went to a jazz club
2283,then we went to a jazz club,that sounds like a nice date
2284,that sounds like a nice date,yes it was pleasant
2285,yes it was pleasant,but you wont date him again
2286,but you wont date him again,no he was nice but there was no chemistry
2287,i had the worst date the other night,what happened
2288,what happened,first of all he was half an hour late
2289,first of all he was half an hour late,thats not a good start
2290,thats not a good start,then he didnt bother to apologize
2291,then he didnt bother to apologize,thats rude
2292,thats rude,then he drove too fast to the restaurant
2293,then he drove too fast to the restaurant,thats dangerous
2294,thats dangerous,i thought about getting out and taking a taxi home
2295,i thought about getting out and taking a taxi home,what happened at the restaurant
2296,what happened at the restaurant,we had a 40 meal and he left a 1 tip
2297,we had a 40 meal and he left a 1 tip,i guess you cant go back to that restaurant
2298,i dont like that man,why not
2299,why not,hes a dirty old man
2300,hes a dirty old man,what do you mean
2301,what do you mean,hes old enough to be my father yet he asked me out
2302,hes old enough to be my father yet he asked me out,well you cant blame a man for asking
2303,well you cant blame a man for asking,he should act his age
2304,he should act his age,but a lot of old people are still interested in dating
2305,but a lot of old people are still interested in dating,they should find a nice hobby
2306,they should find a nice hobby,just wait until youre 50 years old
2307,just wait until youre 50 years old,dating will be the furthest thing from my mind
2308,dating will be the furthest thing from my mind,thats what you say now wait till youre 50
2309,does your girlfriend ever make you angry,sometimes
2310,sometimes,what does she do
2311,what does she do,just yesterday i told her i wouldnt trade her for all the money in the world
2312,just yesterday i told her i wouldnt trade her for all the money in the world,that was a nice thing to say
2313,that was a nice thing to say,thats what i thought
2314,thats what i thought,what did she say
2315,what did she say,she laughed she didnt believe me
2316,she laughed she didnt believe me,that wasnt very nice of her
2317,that wasnt very nice of her,she said that nothing is more important to me than money
2318,she said that nothing is more important to me than money,what did you say
2319,what did you say,i told her i wouldnt trade her for any other woman in the world
2320,some people have good noses,i wish i had a good nose mine is way too big
2321,i wish i had a good nose mine is way too big,i dont mean goodlooking i mean goodsmelling
2322,i dont mean goodlooking i mean goodsmelling,oh but that can be a curse
2323,oh but that can be a curse,yes because you can be too sensitive to odors
2324,yes because you can be too sensitive to odors,ill say my girlfriend has a nose like a drug dog
2325,ill say my girlfriend has a nose like a drug dog,did she catch you using drugs
2326,did she catch you using drugs,sort of she knows whenever i sneak a cigarette
2327,sort of she knows whenever i sneak a cigarette,you dont need a good nose for thatcigarettes stink
2328,you dont need a good nose for thatcigarettes stink,but when i sneak just one cigarette in the morning she can smell it that evening
2329,but when i sneak just one cigarette in the morning she can smell it that evening,boy that is a good nose
2330,boy that is a good nose,i told her she should apply for a job at customs
2331,lets go out to eat,that sounds like fun
2332,that sounds like fun,where do you want to go
2333,where do you want to go,let me think a minute
2334,let me think a minute,i feel like chinese
2335,i feel like chinese,that sounds delicious
2336,that sounds delicious,i know a good chinese restaurant
2337,i know a good chinese restaurant,how far away is it
2338,how far away is it,its only 10 minutes from here
2339,its only 10 minutes from here,do we need reservations
2340,do we need reservations,oh no we can walk right in
2341,oh no we can walk right in,lets go now im hungry
2342,i cant believe how long this line is,this is a popular restaurant isnt it
2343,this is a popular restaurant isnt it,yes but it isnt a fastfood restaurant is it
2344,yes but it isnt a fastfood restaurant is it,its the slowest hamburger in town
2345,its the slowest hamburger in town,thats because they cook it while you wait
2346,thats because they cook it while you wait,yes thats why its also the best hamburger in town
2347,yes thats why its also the best hamburger in town,a great burger and great service
2348,a great burger and great service,yes the workers are very polite
2349,yes the workers are very polite,and theyre clean
2350,and theyre clean,ive been coming here for years
2351,ive been coming here for years,me too
2352,me too,excuse me they just called my number
2353,lunch was delicious,thank you
2354,thank you,what kind of soup was that
2355,what kind of soup was that,it was tomato soup
2356,it was tomato soup,that tasted so good
2357,that tasted so good,i put lemon and butter in it
2358,i put lemon and butter in it,the sandwich was good too
2359,the sandwich was good too,everyone likes bacon and tomato sandwiches
2360,everyone likes bacon and tomato sandwiches,especially on toast
2361,especially on toast,and the pickles were great too
2362,and the pickles were great too,tomorrow well have rice and fish for lunch
2363,tomorrow well have rice and fish for lunch,i cant wait
2364,im calling the waiter,whats the matter
2365,whats the matter,this steak has too much fat
2366,this steak has too much fat,what do you want the waiter to do
2367,what do you want the waiter to do,bring me a better steak
2368,bring me a better steak,i wouldnt do that
2369,i wouldnt do that,why not
2370,why not,they will drop the new steak on the floor step on it and then spit on it
2371,they will drop the new steak on the floor step on it and then spit on it,youre crazy
2372,youre crazy,then the waiter will give you a big smile as he brings you the new steak
2373,then the waiter will give you a big smile as he brings you the new steak,where do you get these crazy ideas
2374,where do you get these crazy ideas,i used to cook in a restaurant
2375,lets leave,but we just got here
2376,but we just got here,did you see the waiters hands
2377,did you see the waiters hands,no
2378,no,he had dirty fingernails
2379,he had dirty fingernails,really
2380,really,his nails were black
2381,his nails were black,thats disgusting
2382,thats disgusting,and he poured water into our glasses
2383,and he poured water into our glasses,yuck no water for me
2384,yuck no water for me,i wonder if the cooks nails are dirty too
2385,i wonder if the cooks nails are dirty too,who cares lets get out of here
2386,this hot bread is delicious,i like this restaurant because they give you free bread
2387,i like this restaurant because they give you free bread,well i think we are paying for it
2388,well i think we are paying for it,no look at the bill when we get it theres no charge for the bread
2389,no look at the bill when we get it theres no charge for the bread,it is delicious especially with butter
2390,it is delicious especially with butter,i think we should just leave after we fill up on the bread
2391,i think we should just leave after we fill up on the bread,they probably wouldnt like that
2392,they probably wouldnt like that,im eating so much bread that im getting full
2393,im eating so much bread that im getting full,then stop eating the bread
2394,then stop eating the bread,okay just one more piece pass the butter please
2395,okay just one more piece pass the butter please,if i owned a restaurant i would never serve hot bread before the main course
2396,if i owned a restaurant i would never serve hot bread before the main course,thats terrible i would never go to your restaurant
2397,is this a clean restaurant,well the tables and chairs look okay
2398,well the tables and chairs look okay,okay lets sit down
2399,okay lets sit down,check out the silverware
2400,check out the silverware,it passes inspection
2401,it passes inspection,here comes the waiter see if his hands and nails are clean
2402,here comes the waiter see if his hands and nails are clean,well the waiter looked clean so i guess its okay to eat here
2403,well the waiter looked clean so i guess its okay to eat here,youre forgetting about the bathroom
2404,youre forgetting about the bathroom,im going to just hope that the bathroom is clean
2405,im going to just hope that the bathroom is clean,youre not going to examine it before we order dinner
2406,youre not going to examine it before we order dinner,no id rather not find out that its dirty because im pretty hungry right now
2407,no id rather not find out that its dirty because im pretty hungry right now,me too lets forget about germs and focus on food
2408,have you seen our waiter,here he comes now
2409,here he comes now,weve been sitting here for almost 10 minutes
2410,weve been sitting here for almost 10 minutes,oops i guess i was wrong that isnt our waiter
2411,oops i guess i was wrong that isnt our waiter,we can give him five more minutes and then leave
2412,we can give him five more minutes and then leave,ill go up front and talk to the manager
2413,ill go up front and talk to the manager,thats a good idea
2414,thats a good idea,maybe theyll give us free drinks for waiting so long
2415,maybe theyll give us free drinks for waiting so long,maybe hell send us our waiter immediately
2416,maybe hell send us our waiter immediately,every time we eat out its an adventure
2417,every time we eat out its an adventure,last time we got seats next to the kitchen
2418,last time we got seats next to the kitchen,well never go there again
2419,is this table okay,no its too close to the kitchen door
2420,no its too close to the kitchen door,how about this table
2421,how about this table,no its too close to the front door
2422,no its too close to the front door,this looks like a nice table
2423,this looks like a nice table,no its too close to the salad bar
2424,no its too close to the salad bar,okay i give up
2425,okay i give up,well there is one good table
2426,well there is one good table,great which one
2427,great which one,that one a group of eight just sat down at it
2428,i dont believe the art world,what is it this time
2429,what is it this time,an andy warhol drawing
2430,an andy warhol drawing,hes a famous artist
2431,hes a famous artist,he drew two butterflies and a flower on a napkin in a restaurant
2432,he drew two butterflies and a flower on a napkin in a restaurant,did he sign it
2433,did he sign it,yes
2434,yes,is it beautiful
2435,is it beautiful,its just black ink on a white napkin and the napkin has food stains
2436,its just black ink on a white napkin and the napkin has food stains,so its not worth much
2437,so its not worth much,only about 30000
2438,only about 30000,without the food stains it would probably be worth more
2439,can we go to the baseball game,of course
2440,of course,i love baseball
2441,i love baseball,so do i
2442,so do i,i love to eat the peanuts
2443,i love to eat the peanuts,i love to eat the hot dogs
2444,i love to eat the hot dogs,i hope well see a home run
2445,i hope well see a home run,i hope well catch a foul ball
2446,i hope well catch a foul ball,bring a jacket
2447,bring a jacket,yes it gets a little cool at night
2448,yes it gets a little cool at night,bring a glove to catch a foul ball
2449,bring a glove to catch a foul ball,no ill just use my cap to catch a foul ball
2450,golf is a silly game,it certainly is
2451,it certainly is,you hit a white ball
2452,you hit a white ball,and then you chase it
2453,and then you chase it,and then you hit it again
2454,and then you hit it again,finally you put the ball into a hole in the ground
2455,finally you put the ball into a hole in the ground,you do this 18 times because there are 18 holes
2456,you do this 18 times because there are 18 holes,whats the point
2457,whats the point,how can it be fun
2458,how can it be fun,they pay money to play this silly game
2459,they pay money to play this silly game,i think golfers have a mental problem
2460,i think golfers have a mental problem,i think theyre nuts
2461,do you want to go fishing,yes thats a good idea
2462,yes thats a good idea,where do you want to go
2463,where do you want to go,we can go to the river
2464,we can go to the river,or we can go to the lake
2465,or we can go to the lake,or we can go to the ocean
2466,or we can go to the ocean,lets go to the lake
2467,lets go to the lake,yes the lake is only 10 miles away
2468,yes the lake is only 10 miles away,we can be there in 20 minutes
2469,we can be there in 20 minutes,ill get our fishing rods
2470,ill get our fishing rods,ill get the bait
2471,ill get the bait,well have fresh fish for dinner
2472,baseball is fun,i like to hit the ball
2473,i like to hit the ball,i like to run around the bases
2474,i like to run around the bases,i like to slide into the bases
2475,i like to slide into the bases,yeah its a lot of fun to slide
2476,yeah its a lot of fun to slide,i want to be a baseball player when i grow up
2477,i want to be a baseball player when i grow up,me too i want to play for the yankees
2478,me too i want to play for the yankees,not me i want to play for the dodgers
2479,not me i want to play for the dodgers,we have to practice every day
2480,we have to practice every day,i dont like practice
2481,i dont like practice,me neither its boring
2482,me neither its boring,but practice makes perfect
2483,lets go jogging,thats a good idea
2484,thats a good idea,i bought some new shoes
2485,i bought some new shoes,are they comfortable
2486,are they comfortable,theyre very comfortable
2487,theyre very comfortable,how much were they
2488,how much were they,they were on sale for 80
2489,they were on sale for 80,do they help you run faster
2490,do they help you run faster,no but my feet dont hurt anymore
2491,no but my feet dont hurt anymore,then theyre worth every penny
2492,then theyre worth every penny,you might want to buy a pair
2493,you might want to buy a pair,ill wait until i wear this pair out
2494,tiger is the greatest golfer in the world,you can say that again
2495,you can say that again,but im worried about tiger
